ID,Honey,Bee,Bee Debris Solid,Bee Debris Liquid,Propolis in Solvant,Iaise Hive 1,Ralph's Hand,Beeswax ,Outside Hive,Inside Hive,Scrapper,Propolis no solvent ,Analysis Type,Location
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Leifsonia|s__Leifsonia_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae,0,0,0,0,0,0,1.04145,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia,0,0,0,0,0,0,1.04145,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa,0,0,0,0,0,0,0.50272,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa|t__Rothia_dentocariosa_unclassified,0,0,0,0,0,0,0.50272,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_unclassified,0,0,0,0,0,0,0.53873,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Nocardioides,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae,0.72519,20.47455,0,0,15.54647,0,10.40138,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified,0.72519,12.10275,0,0,0,0,7.35489,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium,0,8.37181,0,0,15.54647,0,3.04649,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes,0,8.37181,0,0,15.54647,0,3.04649,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes|t__Propionibacterium_acnes_unclassified,0,8.37181,0,0,15.54647,0,3.04649,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,0.24931,1.91924,79.71134,0,4.12684,0.1948,5.61396,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.24931,1.91924,79.71134,0,4.12684,0.1948,5.61396,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,0.24931,1.91924,79.71134,0,4.12684,0.1948,5.61396,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_asteroides,0.24931,1.91924,79.71134,0,4.12684,0.1948,5.61396,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_asteroides|t__GCF_000304215,0.24931,1.91924,79.71134,0,4.12684,0.1948,5.61396,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Solirubrobacterales,0,0,0,0,0,4.23548,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Solirubrobacterales|f__Solirubrobacterales_unclassified,0,0,0,0,0,4.23548,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes,0.27551,0,0,7.53561,0,9.21379,0.15938,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,0,0,0,0,0,0,0.15938,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,0,0,0,0,0,0,0.15938,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0,0,0,0,0,0,0.15938,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,0,0,0,0,0,0,0.15938,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_disiens,0,0,0,0,0,0,0.15938,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_disiens|t__Prevotella_disiens_unclassified,0,0,0,0,0,0,0.15938,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Cytophagia,0.27551,0,0,6.3503,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales,0.27551,0,0,6.3503,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae,0.27551,0,0,6.3503,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Hymenobacter,0.27551,0,0,6.3503,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Hymenobacter|s__Hymenobacter_unclassified,0.27551,0,0,6.3503,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Chryseobacterium,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Chryseobacterium|s__Chryseobacterium_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Riemerella,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Riemerella|s__Riemerella_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia,0,0,0,1.1853,0,9.21379,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales,0,0,0,1.1853,0,9.21379,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae,0,0,0,1.1853,0,9.21379,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter,0,0,0,1.1853,0,9.21379,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_unclassified,0,0,0,1.1853,0,9.21379,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Cyanobacteria,0,1.18704,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname,0,1.18704,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Oscillatoriales,0,1.18704,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Oscillatoriales|f__Oscillatoriales_noname,0,1.18704,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Oscillatoriales|f__Oscillatoriales_noname|g__Microcoleus,0,1.18704,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Oscillatoriales|f__Oscillatoriales_noname|g__Microcoleus|s__Microcoleus_unclassified,0,1.18704,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Deinococcus_Thermus,0,0,0,2.30243,0,1.0498,0.486,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci,0,0,0,2.30243,0,1.0498,0.486,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales,0,0,0,2.30243,0,1.0498,0.486,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae,0,0,0,0,0,1.0498,0.486,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus,0,0,0,0,0,1.0498,0.486,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_aquatilis,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_aquatilis|t__GCF_000378445,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_unclassified,0,0,0,0,0,1.0498,0.486,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcales_unclassified,0,0,0,2.30243,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes,0,0,0,0.67723,2.3621,0,5.13547,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli,0,0,0,0.67723,2.3621,0,4.63362,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales,0,0,0,0,2.3621,0,2.33688,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_megaterium,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_megaterium|t__Bacillus_megaterium_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae,0,0,0,0,2.3621,0,1.56357,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Sporosarcina,0,0,0,0,2.3621,0,1.56357,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Sporosarcina|s__Sporosarcina_newyorkensis,0,0,0,0,2.3621,0,1.56357,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Sporosarcina|s__Sporosarcina_newyorkensis|t__GCF_000220335,0,0,0,0,2.3621,0,1.56357,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,0,0,0,0,0,0,0.77331,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus,0,0,0,0,0,0,0.77331,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis,0,0,0,0,0,0,0.77331,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis|t__Staphylococcus_epidermidis_unclassified,0,0,0,0,0,0,0.77331,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,0,0,0,0.67723,0,0,2.29673,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,0,0,0,0,0,0,0.13604,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_maltaromaticum,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_maltaromaticum|t__Carnobacterium_maltaromaticum_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella,0,0,0,0,0,0,0.13604,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_unclassified,0,0,0,0,0,0,0.13604,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_casseliflavus,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_casseliflavus|t__Enterococcus_casseliflavus_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Fructobacillus,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Fructobacillus|s__Fructobacillus_fructosus,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Fructobacillus|s__Fructobacillus_fructosus|t__GCF_000185045,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0,0,0,0.67723,0,0,2.1607,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus,0,0,0,0.67723,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis,0,0,0,0.67723,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__Lactococcus_lactis_unclassified,0,0,0,0.67723,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,0,0,0,0,0,0,2.1607,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae,0,0,0,0,0,0,2.1607,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae|t__Streptococcus_mitis_oralis_pneumoniae_unclassified,0,0,0,0,0,0,2.1607,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Clostridia,0,0,0,0,0,0,0.50185,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,0,0,0,0,0,0,0.50185,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis,0,0,0,0,0,0,0.50185,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Finegoldia,0,0,0,0,0,0,0.50185,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Finegoldia|s__Finegoldia_magna,0,0,0,0,0,0,0.50185,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Finegoldia|s__Finegoldia_magna|t__Finegoldia_magna_unclassified,0,0,0,0,0,0,0.50185,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Proteobacteria,97.41559,76.41916,20.28866,82.41578,77.96458,84.80263,77.16236,100,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
